dept_name,emp_no,first_name,last_name
Production,10035,Alain,Chappelet
Sales,10302,Faiza,Baer
Research,10347,Pradeep,Kaminger
Quality Management,10363,Toshiki,Muniz
Production,10363,Toshiki,Muniz
Quality Management,10363,Toshiki,Muniz
Production,10363,Toshiki,Muniz
Research,10519,Yonghoan,Alencar
Development,10519,Yonghoan,Alencar
Research,10519,Yonghoan,Alencar
Development,10519,Yonghoan,Alencar
Sales,10548,Ramalingam,Gunderson
Marketing,10548,Ramalingam,Gunderson
Sales,10548,Ramalingam,Gunderson
Marketing,10548,Ramalingam,Gunderson
Production,10564,Jianhao,Thisen
Production,10749,King,Brendel
Production,10835,Tomoyuki,Kermarrec
Development,11019,Leon,Huttel
Sales,11048,Jaques,Demke
Production,11051,Przemyslawa,Erol
Quality Management,11070,Adib,Raney
Finance,11081,Barry,Boyle
Customer Service,11110,Valeska,Birjandi
Production,11110,Valeska,Birjandi
Customer Service,11110,Valeska,Birjandi
Production,11110,Valeska,Birjandi
Marketing,11251,Bezalel,Chinal
Human Resources,11554,Subhash,Taubenfeld
Marketing,11554,Subhash,Taubenfeld
Human Resources,11554,Subhash,Taubenfeld
Marketing,11554,Subhash,Taubenfeld
Human Resources,11588,Kaijung,Panangaden
Sales,11897,Cordelia,Setlzner
Customer Service,12037,Arunas,Katzenelson
Human Resources,12089,Bilhanan,Socorro
Sales,12497,Stein,Penz
Production,12504,Adly,Rosaz
Development,12514,Tomofumi,Melter
Sales,12651,Pragnesh,Bael
Development,12678,Carrsten,Borovoy
Customer Service,12775,Mariangiola,Berendt
Production,12775,Mariangiola,Berendt
Customer Service,12775,Mariangiola,Berendt
Production,12775,Mariangiola,Berendt
Customer Service,12846,Krisda,Cyne
Research,12926,Heekeun,Luby
Development,13156,Akeel,Millington
Sales,13243,Fay,Huxford
Production,13371,Nakhoon,Riexinger
Human Resources,13385,Claudi,Buchter
Sales,13801,Shih,Mayerwieser
Production,13815,Guadalupe,Plotkin
Production,14102,Feixiong,Jording
Development,14232,Masali,Bojadziev
Research,14236,Xuedong,Angiulli
Production,14460,Yagil,Lueh
Sales,14639,Arvind,Hempstead
Production,14846,Magy,Joslin
Sales,14966,Zhanqiu,Underwood
Customer Service,15049,Khun,Waymire
